#
# This file contains values for alpha in [0, 2), the parameter of
# the family of tilted CHSH operators W_{alpha}, and the minimum 
# eigenvalue of the operator 
#   T_{alpha} = K_{alpha} - s_{alpha} * W_{alpha} - mu_{alpha} * Identity,
# minimized over a discretization of [0, pi/2] x [0, pi/4].
# Here, K_{alpha}, s_{alpha} and mu_{alpha} are defined as in the 
# article.
#
# Used parameters:
# - number_of_points : 100
# - number_of_alphas : 2000
#
# 
# The first column contains values for alpha, the second the minimum
# eigenvalue of T_{alpha} over the grid.
#
# The minimum eigenvalue found over the entire grid is -1.3170890159654386e-09, which
# is achieved for alpha=1.998.
#
0.0, 2.0422305360528742e-32
0.001, 0.0
0.002, 1.570092458683775e-16
0.003, -2.8742821830756524e-32
0.004, -1.5700924586837757e-16
0.005, 2.065314953798339e-32
0.006, -7.905515278836895e-33
0.007, 4.149016860835604e-32
0.008, 0.0
0.009000000000000001, 0.0
0.01, 0.0
0.011, -3.1599088560800214e-16
0.012, -7.137172104242337e-32
0.013000000000000001, -3.056912487215321e-18
0.014, -7.173705688564179e-33
0.015, -2.8193275276995535e-32
0.016, -3.14018491736755e-16
0.017, 0.0
0.018000000000000002, 0.0
0.019, 2.1291885282191555e-32
0.02, 0.0
0.021, 0.0
0.022, -1.2898396003357883e-32
0.023, -1.570092458683775e-16
0.024, 0.0
0.025, -1.570092458683775e-16
0.026000000000000002, 0.0
0.027, 3.14018491736755e-16
0.028, -1.5700924586837744e-16
0.029, 0.0
0.03, 3.14018491736755e-16
0.031, -3.14018491736755e-16
0.032, -1.1107504235509466e-32
0.033, 0.0
0.034, 0.0
0.035, -3.14018491736755e-16
0.036000000000000004, 1.570092458683775e-16
0.037, 3.14018491736755e-16
0.038, 0.0
0.039, -3.1401849173675503e-16
0.04, 4.445832365624184e-32
0.041, 0.0
0.042, 1.570092458683775e-16
0.043000000000000003, -1.5700924586837752e-16
0.044, 1.570092458683775e-16
0.045, 3.14018491736755e-16
0.046, -4.318964658343346e-33
0.047, 0.0
0.048, 1.5700924586837752e-16
0.049, 3.14018491736755e-16
0.05, -3.14018491736755e-16
0.051000000000000004, -1.570092458683775e-16
0.052000000000000005, 1.5700924586837752e-16
0.053, 2.279703574674664e-32
0.054, 0.0
0.055, 2.2883572181107505e-32
0.056, -4.710277376051325e-16
0.057, -1.570092458683775e-16
0.058, 0.0
0.059000000000000004, -3.191834871252505e-33
0.06, 0.0
0.061, -3.1401849173675503e-16
0.062, -1.570092458683775e-16
0.063, 0.0
0.064, 0.0
0.065, 0.0
0.066, 2.3355603238823667e-32
0.067, 3.14018491736755e-16
0.068, 0.0
0.069, -1.570092458683775e-16
0.07, -3.14018491736755e-16
0.07100000000000001, -1.570092458683775e-16
0.07200000000000001, -4.710277376051325e-16
0.073, 1.570092458683775e-16
0.074, 0.0
0.075, 0.0
0.076, -3.14018491736755e-16
0.077, 0.0
0.078, 1.5700924586837766e-16
0.079, -2.9877144247172055e-33
0.08, 3.14018491736755e-16
0.081, -3.14018491736755e-16
0.082, 0.0
0.083, 0.0
0.084, -3.14018491736755e-16
0.085, -9.928875434028259e-34
0.08600000000000001, -1.570092458683775e-16
0.08700000000000001, 0.0
0.088, -3.14018491736755e-16
0.089, -1.3220954427824536e-33
0.09, -5.103886962394873e-32
0.091, -3.14018491736755e-16
0.092, 0.0
0.093, -5.029654390916813e-32
0.094, 1.570092458683775e-16
0.095, 2.4568662275325042e-32
0.096, -8.442577446809337e-35
0.097, -1.5700924586837752e-16
0.098, 0.0
0.099, 3.2221666929012145e-34
0.1, 0.0
0.101, 3.14018491736755e-16
0.10200000000000001, -1.5700924586837754e-16
0.10300000000000001, 1.5700924586837747e-16
0.10400000000000001, 0.0
0.105, 4.930380657631324e-32
0.106, -1.570092458683775e-16
0.107, -1.5700924586837754e-16
0.108, -9.503952519161566e-32
0.109, 1.945420056152488e-33
0.11, 1.0532935090965219e-33
0.111, 0.0
0.112, 0.0
0.113, 2.588835190445511e-33
0.114, 4.930380657631324e-32
0.115, 0.0
0.116, -1.570092458683775e-16
0.117, -1.570092458683775e-16
0.11800000000000001, -1.5700924586837747e-16
0.11900000000000001, -1.5700924586837754e-16
0.12, -1.570092458683775e-16
0.121, -9.087625649067645e-32
0.122, 1.570092458683775e-16
0.123, -3.14018491736755e-16
0.124, 0.0
0.125, -3.14018491736755e-16
0.126, 0.0
0.127, 4.814621371890063e-33
0.128, -4.710277376051325e-16
0.129, -4.710277376051325e-16
0.13, -1.570092458683775e-16
0.131, 4.930380657631324e-32
0.132, 0.0
0.133, 0.0
0.134, 0.0
0.135, -4.6269619920406584e-32
0.136, -1.570092458683775e-16
0.137, -4.710277376051325e-16
0.138, 0.0
0.139, -3.14018491736755e-16
0.14, -7.807161975796654e-32
0.14100000000000001, -1.570092458683775e-16
0.14200000000000002, 0.0
0.14300000000000002, 7.309067630892962e-33
0.14400000000000002, -1.5700924586837752e-16
0.145, 0.0
0.146, 1.570092458683775e-16
0.147, 7.924549269236617e-33
0.148, -1.570092458683775e-16
0.149, 4.930380657631324e-32
0.15, 0.0
0.151, -4.503540469644578e-32
0.152, 4.344682295339928e-33
0.153, -1.5700924586837752e-16
0.154, -8.06198446440786e-32
0.155, -1.570092458683775e-16
0.156, -1.570092458683775e-16
0.157, 4.7245808235009554e-33
0.158, -1.570092458683775e-16
0.159, 1.570092458683775e-16
0.16, -3.14018491736755e-16
0.161, -3.14018491736755e-16
0.162, 1.5700924586837757e-16
0.163, 1.0354327929594588e-32
0.164, 0.0
0.165, 4.710277376051325e-16
0.166, -1.5700924586837757e-16
0.167, -1.570092458683775e-16
0.168, -1.570092458683775e-16
0.169, -3.140184917367551e-16
0.17, 1.1401321268130311e-32
0.171, 1.1550101127833453e-32
0.17200000000000001, -1.570092458683775e-16
0.17300000000000001, -3.1401849173675503e-16
0.17400000000000002, -1.570092458683775e-16
0.17500000000000002, 0.0
0.176, 6.145524023986427e-33
0.177, -1.570092458683775e-16
0.178, 1.570092458683775e-16
0.179, -1.570092458683774e-16
0.18, 0.0
0.181, -1.5700924586837762e-16
0.182, 1.570092458683775e-16
0.183, -1.570092458683775e-16
0.184, 0.0
0.185, 0.0
0.186, 4.2424678422009906e-32
0.187, 0.0
0.188, -1.570092458683775e-16
0.189, 1.419462280429892e-32
0.19, 1.570092458683775e-16
0.191, -1.5700924586837764e-16
0.192, 4.930380657631324e-32
0.193, -1.570092458683775e-16
0.194, 1.570092458683775e-16
0.195, 1.570092458683775e-16
0.196, -3.14018491736755e-16
0.197, -1.570092458683775e-16
0.198, 0.0
0.199, -3.140184917367551e-16
0.2, 1.577976083557006e-32
0.201, 4.930380657631324e-32
0.202, 0.0
0.203, -1.570092458683775e-16
0.20400000000000001, -1.570092458683775e-16
0.20500000000000002, -4.710277376051326e-16
0.20600000000000002, -2.7027096754180045e-31
0.20700000000000002, 8.38819998063867e-33
0.20800000000000002, 0.0
0.209, -3.14018491736755e-16
0.21, 1.570092458683775e-16
0.211, 3.1401849173675493e-16
0.212, 1.5700924586837727e-16
0.213, -1.570092458683775e-16
0.214, 0.0
0.215, 0.0
0.216, -4.0281754814487424e-32
0.217, 0.0
0.218, -4.710277376051325e-16
0.219, 0.0
0.22, 0.0
0.221, 4.710277376051324e-16
0.222, 0.0
0.223, -3.9794042509899587e-32
0.224, 0.0
0.225, -4.710277376051325e-16
0.226, -1.570092458683774e-16
0.227, -1.5700924586837754e-16
0.228, -5.918633662432405e-32
0.229, 0.0
0.23, 4.710277376051326e-16
0.231, -4.710277376051325e-16
0.232, -4.710277376051325e-16
0.233, -5.781343322799189e-32
0.234, 0.0
0.23500000000000001, 1.570092458683776e-16
0.23600000000000002, -1.570092458683775e-16
0.23700000000000002, -4.710277376051325e-16
0.23800000000000002, -5.644980034737815e-32
0.23900000000000002, -1.570092458683775e-16
0.24, 1.570092458683775e-16
0.241, 0.0
0.242, 0.0
0.243, 4.930380657631324e-32
0.244, -4.710277376051324e-16
0.245, -1.570092458683775e-16
0.246, 0.0
0.247, -3.14018491736755e-16
0.248, 1.570092458683775e-16
0.249, -3.80224564434556e-32
0.25, 8.725936706438112e-32
0.251, 2.2830101809998011e-32
0.252, 0.0
0.253, 1.5700924586837752e-16
0.254, -2.8918096512509536e-32
0.255, 1.5700924586837752e-16
0.256, -3.14018491736755e-16
0.257, 1.570092458683775e-16
0.258, -3.140184917367551e-16
0.259, -1.3465148258582752e-32
0.26, -3.1401849173675503e-16
0.261, -3.14018491736755e-16
0.262, -3.1401849173675513e-16
0.263, -1.570092458683775e-16
0.264, 4.710277376051325e-16
0.265, 0.0
0.266, 4.710277376051326e-16
0.267, -1.5700924586837766e-16
0.268, -3.14018491736755e-16
0.269, 2.520411433576897e-32
0.27, 3.1401849173675484e-16
0.271, -1.5700924586837732e-16
0.272, -1.570092458683775e-16
0.273, 0.0
0.274, 0.0
0.275, -2.0660038040998829e-32
0.276, 0.0
0.277, 4.710277376051325e-16
0.278, 2.63693286668477e-32
0.279, -4.710277376051325e-16
0.28, -1.5700924586837744e-16
0.281, 2.675453765576747e-32
0.28200000000000003, 4.710277376051325e-16
0.28300000000000003, -1.570092458683775e-16
0.28400000000000003, 4.710277376051323e-16
0.28500000000000003, 4.710277376051326e-16
0.28600000000000003, 4.930380657631324e-32
0.28700000000000003, 4.930380657631324e-32
0.28800000000000003, -1.5700924586837757e-16
0.289, 0.0
0.29, -4.710277376051325e-16
0.291, 3.14018491736755e-16
0.292, -1.5700924586837766e-16
0.293, -1.570092458683775e-16
0.294, -1.1869442569734915e-31
0.295, 0.0
0.296, 1.5700924586837744e-16
0.297, 0.0
0.298, 0.0
0.299, 0.0
0.3, 2.9157476853304786e-32
0.301, 0.0
0.302, 0.0
0.303, 0.0
0.304, 2.9655348798929833e-32
0.305, 0.0
0.306, -3.14018491736755e-16
0.307, -6.858067252874461e-32
0.308, 3.015046034465248e-32
0.309, 0.0
0.31, -7.56272882282061e-32
0.311, -3.756763449758503e-32
0.312, -6.2803698347351e-16
0.313, -7.415328522048181e-32
0.314, -6.2803698347351e-16
0.315, 0.0
0.316, -3.14018491736755e-16
0.317, 0.0
0.318, -3.5855139242281165e-32
0.319, 0.0
0.32, 0.0
0.321, 3.1740645990484314e-32
0.322, 9.860761315262648e-32
0.323, -6.2803698347351e-16
0.324, -6.650408379575601e-32
0.325, 0.0
0.326, 0.0
0.327, 6.280369834735101e-16
0.328, 0.0
0.329, -3.14018491736755e-16
0.33, 0.0
0.331, 6.2803698347351e-16
0.332, 3.140184917367551e-16
0.333, -3.14018491736755e-16
0.334, 0.0
0.335, 0.0
0.336, 0.0
0.337, -6.2803698347351e-16
0.338, 3.377695152805141e-32
0.339, 0.0
0.34, 0.0
0.341, 0.0
0.342, -3.010950188739966e-32
0.343, 0.0
0.34400000000000003, 6.2803698347351e-16
0.34500000000000003, -6.40062214587015e-32
